ABBOTT, HARVEY LESLIE
ACZEL, JANOS DEZSO*
AGOH, TAKASHI
AHARONI, RON
AIGNER, MARTIN S.
AJTAI, MIKLOS
ALAOGLU, LEONIDAS*
ALAVI, YOUSEF*
ALLADI, KRISHNASWAMI
ALON, NOGA MORDECHAI
ANDERSON, JAMES MILNE
ANDRASFAI, BELA
ANKENY, NESMITH CORNETT
ANNING, NORMAN H.
ARKIN, JOSEPH*
ARNEY, DAVID CHRISTOPHER
ARONOV, BORIS
ASH, J. MARSHALL
ASHBACHER, CHARLES D.
AVIS, DAVID MICHAEL
BABAI, LASZLO
BABU, GUTTI JOGESH
BAGEMIHL, FREDERICK*
BALOG, ANTAL
BANKOFF, LEON*
BARAK, AMNON B.
BATEMAN, PAUL TREVIER*
BAUMGARTNER, JAMES EARL*
BEASLEY, LEROY B.
BECK, ISTVAN
BEHZAD, MEHDI^1
BEJLEGAARD, NIELS*
BENKOSKI, STANLEY JOSEPH, JR.
BERGELSON, VITALY
BERGER, MARC ARON
BERTRAM, EDWARD ARTHUR
BIALOSTOCKI, ARIE
BLASS, ANDREAS RAPHAEL
BLECKSMITH, RICHARD FRED
BLEICHER, MICHAEL NATHANIEL
BOALS, ALFRED JOHN
BOAS, RALPH PHILIP, JR.*
BOES, DUANE CHARLES
BOLLOBAS, BELA
BONAR, DANIEL DONALD
BONDY, JOHN ADRIAN
BONNET, ROBERT
BOROSH, ITSHAK
BOSAK, JURAJ*
BOVEY, JOHN D.
BRENNER, JOEL LEE*
BRILLHART, JOHN DAVID
BRINDZA, BELA*
BROWN, THOMAS CRAIG
BROWN, WILLIAM GORDON
BUCK, ROBERT CREIGHTON*
BUKOR, JOZEF
BURR, STEFAN ANDRUS
BUSOLINI, DONALD TERENCE
BUTLER, STEVEN KAY
CACCETTA, LOUIS
CALKIN, NEIL JAMES
CAMERON, PETER JEPHSON
CANFIELD, EARL RODNEY
CARROLL, FRANCIS WILLIAM
CATER, FRANK SYDNEY
CATES, MARSHALL LOUIS
